InvoiceNo,InvoiceDate,ProductNo,Quantity,Unit,ProductName,PackSize,ChemicalName
1,01/1/2015,338,1,bot,Optimol,bot,Eye Drop
1,01/1/2015,16,1,stp,Nutrivita ,10 cap * 5 stp * box,Multivitamins and Minerals
1,01/1/2015,388,1,bot,????????? ?????? ???,6 bot * 2 pack * dz,Myanmar Digestive
1,01/1/2015,354,2,pcs,Urgo Plaster Transparent,100 pcs * box,Plaster
1,01/1/2015,74,1,stp,Oramin G,5 cap * 6 stp * box,Multivitamins and Minerals
1,01/1/2015,155,1,stp,Vit B Denk,10 tab * 10 stp * box,"B1, B6"
1,01/1/2015,111,1,stp,Clopilet,10 tab * 3 stp * box,Clopidogrel
1,01/1/2015,125,1,stp,Atocor 10,10 tab * 10 stp * box,Atorvastatin
1,01/1/2015,154,1,box,Neurobion Blue,10 tab * 10 stp * box,"B1, B6, B12"
1,01/1/2015,237,2,stp,Brumox 250,10 cap * 10 stp * box,Amoxicillin
1,01/1/2015,281,2,stp,Protase,10 tab * 10 stp * box,Anti Inflammatory Enzyme
1,01/1/2015,310,33,tab,MOM 1000's Thai,1000 tab * bot,Milk of Magnesia
1,01/1/2015,169,10,tab,Paracetamol Ygn,100 tab * bot,Paracetamol
1,01/1/2015,220,4,tab,Vicks,105 tab * bot,Cough Tablet
1,01/1/2015,543,75,tab,Cevit Masa,1000 tab * bot,Cevit Sweet
1,01/1/2015,230,1,stp,Dazolic,10 tab * 10 stp * box,Ornidazole
1,01/1/2015,280,1,sac,Bioflor,10 sac * box,Saccharomyces boulardii
1,01/1/2015,148,2,stp,Metformin denk 500,10 tab * 10 stp * box,Metformin 
1,01/1/2015,148,2,stp,Metformin denk 500,10 tab * 10 stp * box,Metformin 
1,01/1/2015,465,1,bot,???????? ????????????????????,12 bot * dz,Myanmar Cough Medicine
1,01/1/2015,168,20,tab,Gelmag Pol ????,50 tab * bot,Magnesium Trisilicate
1,01/1/2015,174,4,stp,Zosec,10 cap * 10 stp * box,Omeprazole
1,01/1/2015,307,2,stp,Siloxogene,10 tab * 30 stp * box,Aluminium Hydroxide
1,01/1/2015,440,1,bot,???????????? ??????? ??????,6 bot * 2 pack * dz,Myanmar Analgesic
